"Wavelength","Rad_mean","Rad_sd"
485,0.00310851537436247,0.000100023674432681
486,0.00310983074456453,9.93228662919957e-05
487,0.00313902031769976,9.89739705293288e-05
488,0.00318273517629132,9.95053558886936e-05
489,0.00322929102974012,0.000100417856984072
490,0.00327045613899827,9.99423878697658e-05
491,0.00330814037844539,0.000100403298653876
492,0.00334338411409408,0.000100987749090451
493,0.00337722677877173,0.000100731964229433
494,0.00341212207404897,0.000100461680627804
495,0.00343641743995249,0.000100468120758237
496,0.00344990770705044,0.000100163172326296
497,0.00345879627717659,9.8812219583059e-05
498,0.00346184669667855,9.85386279098903e-05
499,0.00346990037942305,9.81512551289407e-05
500,0.00349290191335604,9.73160203508096e-05
501,0.00353782934183255,9.72309665555387e-05
502,0.00359693736536428,9.70686884161395e-05
503,0.00366798464953899,9.66749973760611e-05
504,0.00374817735422403,9.59669361962681e-05
505,0.0038268217924051,9.61292690338585e-05
506,0.00390655585471541,9.66571931575306e-05
507,0.00398981724120677,9.70176256212891e-05
508,0.00407826527534053,9.71793988210626e-05
509,0.00417552178353071,9.83546580486053e-05
510,0.00427708766330034,9.92153978749699e-05
511,0.00437691500037909,9.84001322027423e-05
512,0.00447046025004238,9.72650530755715e-05
513,0.0045474486136809,9.45309327112844e-05
514,0.00462137267179787,9.18231723885957e-05
515,0.00471926431450993,9.14759641879903e-05
516,0.0048629870545119,9.00935901514703e-05
517,0.00506827041506767,8.92902156680569e-05
518,0.00533518559858203,9.03250729869709e-05
519,0.00564502159971744,9.26747326915588e-05
520,0.00596396947279572,9.50276734679401e-05
521,0.0062770277056843,9.74267601486025e-05
522,0.00657134506106377,9.99249356707306e-05
523,0.00681549591384828,0.000100375974130518
524,0.00703040538821369,9.92678761156342e-05
525,0.00724921979382634,9.8436147552192e-05
526,0.00751152211613953,0.000100630140436276
527,0.00782537590153515,0.000104738303283673
528,0.00815201198402792,0.00011055360521344
529,0.00844410865101963,0.000116717307590131
530,0.00864923981204629,0.000119200781450654
531,0.00882168733514845,0.000121758542714087
532,0.00899450215883553,0.000125642751514267
533,0.00918604702688754,0.000130448459611525
534,0.00937910905666649,0.000136321211943598
535,0.00954529916867614,0.000141564644150578
536,0.00966195339895785,0.000145084384787665
537,0.00971325423568487,0.00014742174528622
538,0.00975279628485441,0.000148851179607949
539,0.00980557602457702,0.000150277957503141
540,0.00988686381652951,0.000152469894368963
541,0.0100131946709007,0.0001548668836452
542,0.0101602101605386,0.000158747105345432
543,0.010300455968827,0.000163025104022769
544,0.0104070953596383,0.000164801743702608
545,0.0104879857748747,0.000166172540427771
546,0.010559358952567,0.00016629351683144
547,0.0106336631849408,0.000165023042820942
548,0.0107116893548518,0.000164320507005796
549,0.0107848587781191,0.000164922629482305
550,0.0108462689537555,0.000165781987037394
551,0.0108905531223863,0.00016536474883713
552,0.0109211846794933,0.000165023407860221
553,0.010923839353025,0.000163932777833741
554,0.0108779946342111,0.000161878137268616
555,0.0107570154797286,0.000159523515284768
556,0.0105869152378291,0.000156257951635116
557,0.0104122070949525,0.00015299464105857
558,0.0102717933412641,0.000150786302321629
559,0.0101711018271744,0.000149911454863703
560,0.0100812069978565,0.000148987130071688
561,0.00997350273095071,0.000147835322875764
562,0.00982281223870814,0.000147013825090852
563,0.00962851166166365,0.000144756698818503
564,0.00941207805462182,0.00014100312774697
565,0.00919278330914676,0.000136391099622117
566,0.00897741256654263,0.000132528645380071
567,0.0087416761983186,0.000127729800723681
568,0.008487329387106,0.000122330255668593
569,0.00823373934347183,0.000117494355109924
570,0.00803159281052649,0.000114318686130593
571,0.00786839299835265,0.000111777903868603
572,0.00771415677946061,0.000109027201141282
573,0.00752504301723093,0.000105971554617933
574,0.00732338415738195,0.00010241862788614
575,0.00713535426277667,9.96418702364935e-05
576,0.00698257176857442,9.86364920643907e-05
577,0.00685823616478592,9.7515434957307e-05
578,0.00676732129976153,9.75444162676353e-05
579,0.00670619220566005,9.86893783769283e-05
580,0.00666249532345682,9.95169744694831e-05
581,0.00661547494586557,9.91104017420123e-05
582,0.00654617032315582,9.69931272066026e-05
583,0.00644794759526849,9.34895827286619e-05
584,0.00633759005833417,9.04381801968412e-05
585,0.00622452793922275,8.70701806856183e-05
586,0.00609670427720994,8.34395145769133e-05
587,0.00594190507102758,7.98334723289405e-05
588,0.00581206677202135,7.72167085280431e-05
589,0.00577504085097462,7.70941477543179e-05
590,0.00582712495326996,7.96034944496524e-05
591,0.00586853076051921,8.24939221526414e-05
592,0.00586489201616496,8.53312706386615e-05
593,0.00582936922460794,8.76097041391672e-05
594,0.00579020044021308,8.89572963161234e-05
595,0.0057553416416049,9.02176787299298e-05
596,0.00571129377000034,9.02242536022234e-05
597,0.0056566554158926,8.94728353777435e-05
598,0.00560045244917274,8.94756250771806e-05
599,0.00554298947751522,8.82854501579225e-05
600,0.00549302823655307,8.56854635278364e-05
601,0.00546110308077186,8.2548831496203e-05
602,0.00546225000172853,8.0837570329887e-05
603,0.00545691558532417,8.07561770108779e-05
604,0.0054308650624007,8.12546421822921e-05
605,0.00538446384202689,8.06167393480229e-05
606,0.00532973594591022,8.08046128358645e-05
607,0.00527039903588593,8.16151351803059e-05
608,0.00521011078450829,8.3011924964236e-05
609,0.00515380531176925,8.5197869262424e-05
